block_time,blockchain,total,attested_schemas,unique_attesters,unique_recipients
2023-02-25 00:00:00.000 UTC,arbitrum,64,4,3,1
2023-02-27 00:00:00.000 UTC,arbitrum,73,3,3,72
2023-02-28 00:00:00.000 UTC,arbitrum,94,6,7,89
2023-03-01 00:00:00.000 UTC,arbitrum,49,4,4,46
2023-03-02 00:00:00.000 UTC,arbitrum,54,3,3,53
2023-03-03 00:00:00.000 UTC,arbitrum,97,5,3,91
2023-03-04 00:00:00.000 UTC,arbitrum,23,4,4,22
2023-03-04 00:00:00.000 UTC,ethereum,42,1,1,1
2023-03-05 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-03-06 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-06 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-07 00:00:00.000 UTC,arbitrum,4,2,2,3
2023-03-07 00:00:00.000 UTC,ethereum,4,2,2,2
2023-03-08 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-08 00:00:00.000 UTC,ethereum,3,2,3,3
2023-03-09 00:00:00.000 UTC,arbitrum,3,2,1,2
2023-03-09 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-10 00:00:00.000 UTC,arbitrum,2,2,1,1
2023-03-11 00:00:00.000 UTC,arbitrum,3,2,2,1
2023-03-12 00:00:00.000 UTC,arbitrum,3,2,2,2
2023-03-14 00:00:00.000 UTC,arbitrum,3,3,2,3
2023-03-15 00:00:00.000 UTC,arbitrum,4,4,3,2
2023-03-16 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-17 00:00:00.000 UTC,arbitrum,3,2,2,3
2023-03-18 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-19 00:00:00.000 UTC,arbitrum,6,6,3,3
2023-03-20 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-21 00:00:00.000 UTC,ethereum,3,2,2,2
2023-03-24 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-25 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-25 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-26 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-28 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-29 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-29 00:00:00.000 UTC,ethereum,1,1,1,1
2023-03-30 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-03-31 00:00:00.000 UTC,ethereum,5,1,4,2
2023-04-03 00:00:00.000 UTC,arbitrum,8,1,1,4
2023-04-04 00:00:00.000 UTC,arbitrum,5,2,2,2
2023-04-05 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-05 00:00:00.000 UTC,ethereum,1,1,1,1
2023-04-06 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-04-07 00:00:00.000 UTC,arbitrum,2,1,2,2
2023-04-08 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-09 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-10 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-11 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-13 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-14 00:00:00.000 UTC,arbitrum,3,1,3,1
2023-04-18 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-20 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-20 00:00:00.000 UTC,ethereum,1,1,1,1
2023-04-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-04-28 00:00:00.000 UTC,arbitrum,3,3,2,3
2023-05-02 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-03 00:00:00.000 UTC,arbitrum,7,5,4,3
2023-05-04 00:00:00.000 UTC,arbitrum,3,2,2,2
2023-05-06 00:00:00.000 UTC,arbitrum,7,2,1,1
2023-05-09 00:00:00.000 UTC,arbitrum,2,2,2,1
2023-05-12 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-14 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-15 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-05-15 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-17 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-19 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-19 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-20 00:00:00.000 UTC,arbitrum,4,1,1,1
2023-05-25 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-26 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-05-27 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-28 00:00:00.000 UTC,arbitrum,2,1,1,2
2023-05-28 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-29 00:00:00.000 UTC,arbitrum,18,1,1,18
2023-05-30 00:00:00.000 UTC,arbitrum,19,1,1,19
2023-05-30 00:00:00.000 UTC,ethereum,1,1,1,1
2023-05-31 00:00:00.000 UTC,arbitrum,4,1,1,4
2023-06-01 00:00:00.000 UTC,arbitrum,3,3,3,1
2023-06-01 00:00:00.000 UTC,ethereum,1,1,1,1
2023-06-05 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-12 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-14 00:00:00.000 UTC,arbitrum,3,1,1,1
2023-06-25 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-28 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-06-30 00:00:00.000 UTC,ethereum,2,2,1,2
2023-07-05 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-07-06 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-07-07 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-07-08 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-07-09 00:00:00.000 UTC,arbitrum,54,1,1,54
2023-07-09 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-10 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-07-11 00:00:00.000 UTC,arbitrum,4,3,3,4
2023-07-12 00:00:00.000 UTC,arbitrum,14,2,2,9
2023-07-13 00:00:00.000 UTC,arbitrum,20,2,2,5
2023-07-14 00:00:00.000 UTC,arbitrum,5,4,3,4
2023-07-15 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-07-15 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-18 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-07-19 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-07-21 00:00:00.000 UTC,arbitrum,11,3,3,8
2023-07-22 00:00:00.000 UTC,arbitrum,3,1,1,3
2023-07-23 00:00:00.000 UTC,arbitrum,2,1,1,2
2023-07-23 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-24 00:00:00.000 UTC,arbitrum,2,1,1,2
2023-07-24 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-25 00:00:00.000 UTC,arbitrum,5,2,2,5
2023-07-25 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-27 00:00:00.000 UTC,arbitrum,7,1,1,2
2023-07-28 00:00:00.000 UTC,arbitrum,4,1,1,4
2023-07-28 00:00:00.000 UTC,optimism,51,2,3,1
2023-07-29 00:00:00.000 UTC,arbitrum,37,4,3,25
2023-07-29 00:00:00.000 UTC,optimism,50,4,46,34
2023-07-30 00:00:00.000 UTC,arbitrum,11,1,1,8
2023-07-30 00:00:00.000 UTC,ethereum,1,1,1,1
2023-07-30 00:00:00.000 UTC,optimism,70,5,57,35
2023-07-31 00:00:00.000 UTC,arbitrum,24,2,3,15
2023-07-31 00:00:00.000 UTC,optimism,34,1,34,10
2023-08-01 00:00:00.000 UTC,arbitrum,10,4,3,8
2023-08-01 00:00:00.000 UTC,optimism,15,9,9,10
2023-08-02 00:00:00.000 UTC,arbitrum,9,3,2,6
2023-08-02 00:00:00.000 UTC,optimism,6,4,3,4
2023-08-03 00:00:00.000 UTC,arbitrum,8,5,2,5
2023-08-03 00:00:00.000 UTC,optimism,4,2,3,3
2023-08-04 00:00:00.000 UTC,arbitrum,3,2,2,2
2023-08-04 00:00:00.000 UTC,optimism,1,1,1,1
2023-08-05 00:00:00.000 UTC,arbitrum,2,1,1,2
2023-08-05 00:00:00.000 UTC,optimism,12,2,9,10
2023-08-06 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-08-06 00:00:00.000 UTC,ethereum,2,1,2,2
2023-08-06 00:00:00.000 UTC,optimism,9,1,9,8
2023-08-07 00:00:00.000 UTC,arbitrum,3,2,1,3
2023-08-07 00:00:00.000 UTC,optimism,14,6,7,8
2023-08-08 00:00:00.000 UTC,arbitrum,6,4,3,6
2023-08-08 00:00:00.000 UTC,optimism,24,8,9,8
2023-08-09 00:00:00.000 UTC,arbitrum,5,2,2,4
2023-08-09 00:00:00.000 UTC,optimism,18,8,5,3
2023-08-10 00:00:00.000 UTC,arbitrum,4,2,2,3
2023-08-10 00:00:00.000 UTC,optimism,7,2,3,3
2023-08-11 00:00:00.000 UTC,arbitrum,8,5,3,3
2023-08-11 00:00:00.000 UTC,optimism,7,3,4,4
2023-08-12 00:00:00.000 UTC,optimism,39,5,7,3
2023-08-13 00:00:00.000 UTC,optimism,52,7,12,7
2023-08-14 00:00:00.000 UTC,arbitrum,4,1,1,2
2023-08-14 00:00:00.000 UTC,ethereum,1,1,1,1
2023-08-14 00:00:00.000 UTC,optimism,3,2,2,2
2023-08-15 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-08-15 00:00:00.000 UTC,ethereum,1,1,1,1
2023-08-15 00:00:00.000 UTC,optimism,2,2,2,1
2023-08-16 00:00:00.000 UTC,optimism,1,1,1,1
2023-08-17 00:00:00.000 UTC,optimism,19,5,8,11
2023-08-18 00:00:00.000 UTC,arbitrum,2,1,1,2
2023-08-18 00:00:00.000 UTC,optimism,7,3,2,5
2023-08-19 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-08-19 00:00:00.000 UTC,optimism,14,4,2,12
2023-08-20 00:00:00.000 UTC,optimism,17,3,3,16
2023-08-21 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-08-21 00:00:00.000 UTC,optimism,16,2,2,16
2023-08-22 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-08-22 00:00:00.000 UTC,ethereum,1,1,1,1
2023-08-22 00:00:00.000 UTC,optimism,9,1,1,9
2023-08-23 00:00:00.000 UTC,optimism,8,3,3,8
2023-08-24 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-08-24 00:00:00.000 UTC,optimism,27,2,2,16
2023-08-25 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-08-25 00:00:00.000 UTC,optimism,9,2,3,8
2023-08-26 00:00:00.000 UTC,ethereum,1,1,1,1
2023-08-26 00:00:00.000 UTC,optimism,5,1,1,5
2023-08-27 00:00:00.000 UTC,optimism,17,1,1,17
2023-08-28 00:00:00.000 UTC,arbitrum,4,1,2,2
2023-08-28 00:00:00.000 UTC,optimism,11,1,1,10
2023-08-29 00:00:00.000 UTC,arbitrum,12,1,1,2
2023-08-29 00:00:00.000 UTC,optimism,26,4,3,19
2023-08-30 00:00:00.000 UTC,arbitrum,9,4,2,3
2023-08-30 00:00:00.000 UTC,optimism,11,6,7,8
2023-08-31 00:00:00.000 UTC,arbitrum,4,1,2,3
2023-08-31 00:00:00.000 UTC,ethereum,1,1,1,1
2023-08-31 00:00:00.000 UTC,optimism,4,3,3,3
2023-09-01 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-09-01 00:00:00.000 UTC,optimism,7,4,5,6
2023-09-02 00:00:00.000 UTC,optimism,2,2,2,2
2023-09-04 00:00:00.000 UTC,arbitrum,39,2,2,20
2023-09-04 00:00:00.000 UTC,optimism,14,1,1,14
2023-09-05 00:00:00.000 UTC,arbitrum,40,2,2,36
2023-09-05 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-05 00:00:00.000 UTC,optimism,3,3,2,3
2023-09-06 00:00:00.000 UTC,arbitrum,22,4,2,16
2023-09-06 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-06 00:00:00.000 UTC,optimism,4,3,4,4
2023-09-07 00:00:00.000 UTC,arbitrum,17,2,2,13
2023-09-07 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-07 00:00:00.000 UTC,optimism,2,2,2,1
2023-09-08 00:00:00.000 UTC,arbitrum,10,2,2,7
2023-09-08 00:00:00.000 UTC,base,45,2,3,1
2023-09-08 00:00:00.000 UTC,optimism,3,2,2,1
2023-09-09 00:00:00.000 UTC,arbitrum,17,2,2,13
2023-09-09 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-09 00:00:00.000 UTC,optimism,1,1,1,1
2023-09-10 00:00:00.000 UTC,arbitrum,10,1,1,7
2023-09-10 00:00:00.000 UTC,optimism,2,1,2,2
2023-09-11 00:00:00.000 UTC,arbitrum,12,3,3,8
2023-09-11 00:00:00.000 UTC,base,11,3,2,9
2023-09-11 00:00:00.000 UTC,ethereum,5,4,4,5
2023-09-11 00:00:00.000 UTC,optimism,4,3,3,3
2023-09-12 00:00:00.000 UTC,arbitrum,5,1,2,5
2023-09-12 00:00:00.000 UTC,base,8,2,2,8
2023-09-12 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-12 00:00:00.000 UTC,optimism,29,4,9,28
2023-09-13 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-09-13 00:00:00.000 UTC,base,41,3,4,39
2023-09-13 00:00:00.000 UTC,ethereum,3,2,2,3
2023-09-13 00:00:00.000 UTC,optimism,17,3,9,17
2023-09-14 00:00:00.000 UTC,arbitrum,4,2,2,3
2023-09-14 00:00:00.000 UTC,base,11,1,1,11
2023-09-14 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-14 00:00:00.000 UTC,optimism,6,3,5,5
2023-09-15 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-09-15 00:00:00.000 UTC,base,34,2,4,29
2023-09-15 00:00:00.000 UTC,ethereum,2,2,2,2
2023-09-15 00:00:00.000 UTC,optimism,6,2,4,4
2023-09-16 00:00:00.000 UTC,arbitrum,2,1,1,2
2023-09-16 00:00:00.000 UTC,base,9,3,5,5
2023-09-16 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-16 00:00:00.000 UTC,optimism,4,3,2,4
2023-09-17 00:00:00.000 UTC,base,1,1,1,1
2023-09-17 00:00:00.000 UTC,ethereum,3,1,1,1
2023-09-17 00:00:00.000 UTC,optimism,8,5,6,5
2023-09-18 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-09-18 00:00:00.000 UTC,base,6,1,1,6
2023-09-18 00:00:00.000 UTC,optimism,3,2,3,3
2023-09-19 00:00:00.000 UTC,arbitrum,4,2,2,4
2023-09-19 00:00:00.000 UTC,base,37,4,3,33
2023-09-19 00:00:00.000 UTC,ethereum,2,1,1,2
2023-09-19 00:00:00.000 UTC,optimism,441,3,380,379
2023-09-20 00:00:00.000 UTC,arbitrum,10,5,2,3
2023-09-20 00:00:00.000 UTC,base,29,2,2,29
2023-09-20 00:00:00.000 UTC,optimism,645,4,561,562
2023-09-21 00:00:00.000 UTC,base,2,1,1,2
2023-09-21 00:00:00.000 UTC,optimism,357,5,260,263
2023-09-22 00:00:00.000 UTC,arbitrum,6,3,3,3
2023-09-22 00:00:00.000 UTC,optimism,251,5,192,197
2023-09-23 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-09-23 00:00:00.000 UTC,optimism,181,3,158,158
2023-09-24 00:00:00.000 UTC,arbitrum,2,2,2,2
2023-09-24 00:00:00.000 UTC,base,1,1,1,1
2023-09-24 00:00:00.000 UTC,optimism,116,2,103,103
2023-09-25 00:00:00.000 UTC,arbitrum,4,2,2,2
2023-09-25 00:00:00.000 UTC,base,1,1,1,1
2023-09-25 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-25 00:00:00.000 UTC,optimism,179,7,124,157
2023-09-26 00:00:00.000 UTC,optimism,154,6,130,131
2023-09-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-09-27 00:00:00.000 UTC,base,2,1,2,2
2023-09-27 00:00:00.000 UTC,optimism,226,8,188,190
2023-09-28 00:00:00.000 UTC,optimism,191,5,173,175
2023-09-29 00:00:00.000 UTC,arbitrum,2,1,2,2
2023-09-29 00:00:00.000 UTC,base,12,2,2,12
2023-09-29 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-29 00:00:00.000 UTC,optimism,135,5,123,124
2023-09-30 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-30 00:00:00.000 UTC,optimism,96,4,88,89
2023-10-01 00:00:00.000 UTC,arbitrum,4,3,2,2
2023-10-01 00:00:00.000 UTC,base,3,3,1,2
2023-10-01 00:00:00.000 UTC,optimism,96,8,78,79
2023-10-02 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-02 00:00:00.000 UTC,base,3,2,1,1
2023-10-02 00:00:00.000 UTC,optimism,158,11,103,113
2023-10-03 00:00:00.000 UTC,base,4,4,3,2
2023-10-03 00:00:00.000 UTC,optimism,201,13,103,157
2023-10-04 00:00:00.000 UTC,arbitrum,3,2,2,2
2023-10-04 00:00:00.000 UTC,base,6,5,2,2
2023-10-04 00:00:00.000 UTC,ethereum,2,1,1,1
2023-10-04 00:00:00.000 UTC,optimism,631,11,187,281
2023-10-05 00:00:00.000 UTC,arbitrum,2,1,1,1
2023-10-05 00:00:00.000 UTC,base,2,2,2,2
2023-10-05 00:00:00.000 UTC,ethereum,1,1,1,1
2023-10-05 00:00:00.000 UTC,optimism,1758,16,161,338
2023-10-06 00:00:00.000 UTC,base,7,4,2,4
2023-10-06 00:00:00.000 UTC,optimism,676,18,81,148
2023-10-07 00:00:00.000 UTC,arbitrum,2,1,1,1
2023-10-07 00:00:00.000 UTC,base,4,2,2,2
2023-10-07 00:00:00.000 UTC,optimism,231,13,95,106
2023-10-08 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-08 00:00:00.000 UTC,base,3,2,2,2
2023-10-08 00:00:00.000 UTC,optimism,198,11,85,107
2023-10-09 00:00:00.000 UTC,arbitrum,12,2,2,7
2023-10-09 00:00:00.000 UTC,base,3,3,2,1
2023-10-09 00:00:00.000 UTC,optimism,120,12,88,90
2023-10-10 00:00:00.000 UTC,arbitrum,5,1,1,3
2023-10-10 00:00:00.000 UTC,base,1,1,1,1
2023-10-10 00:00:00.000 UTC,optimism,177,12,128,134
2023-10-11 00:00:00.000 UTC,base,1,1,1,1
2023-10-11 00:00:00.000 UTC,optimism,311,10,250,262
2023-10-12 00:00:00.000 UTC,base,2,2,1,1
2023-10-12 00:00:00.000 UTC,optimism,259,12,203,211
2023-10-13 00:00:00.000 UTC,arbitrum,2,1,1,1
2023-10-13 00:00:00.000 UTC,optimism,139,4,107,112
2023-10-14 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-14 00:00:00.000 UTC,base,2,1,1,2
2023-10-14 00:00:00.000 UTC,optimism,97,10,80,79
2023-10-15 00:00:00.000 UTC,base,4,4,2,2
2023-10-15 00:00:00.000 UTC,optimism,65,5,52,52
2023-10-16 00:00:00.000 UTC,base,7,4,3,5
2023-10-16 00:00:00.000 UTC,optimism,275,15,105,164
2023-10-17 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-17 00:00:00.000 UTC,base,7,3,2,5
2023-10-17 00:00:00.000 UTC,optimism,365,11,91,122
2023-10-18 00:00:00.000 UTC,base,3,2,1,2
2023-10-18 00:00:00.000 UTC,optimism,620,14,346,370
2023-10-19 00:00:00.000 UTC,base,1,1,1,1
2023-10-19 00:00:00.000 UTC,optimism,2512,9,2160,2161
2023-10-20 00:00:00.000 UTC,arbitrum,2,2,1,1
2023-10-20 00:00:00.000 UTC,base,2,2,2,1
2023-10-20 00:00:00.000 UTC,optimism,1557,10,582,676
2023-10-21 00:00:00.000 UTC,arbitrum,6,2,2,3
2023-10-21 00:00:00.000 UTC,base,3,2,2,1
2023-10-21 00:00:00.000 UTC,optimism,911,8,305,367
2023-10-22 00:00:00.000 UTC,arbitrum,2,2,1,1
2023-10-22 00:00:00.000 UTC,base,3,3,2,1
2023-10-22 00:00:00.000 UTC,optimism,707,15,370,412
2023-10-23 00:00:00.000 UTC,arbitrum,2,2,1,2
2023-10-23 00:00:00.000 UTC,base,9,3,2,5
2023-10-23 00:00:00.000 UTC,optimism,744,15,487,482
2023-10-24 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-24 00:00:00.000 UTC,base,9,3,2,6
2023-10-24 00:00:00.000 UTC,optimism,299,13,206,207
2023-10-25 00:00:00.000 UTC,arbitrum,4,4,4,4
2023-10-25 00:00:00.000 UTC,base,56,4,4,36
2023-10-25 00:00:00.000 UTC,optimism,89,17,30,31
2023-10-26 00:00:00.000 UTC,arbitrum,6,3,3,6
2023-10-26 00:00:00.000 UTC,base,27,2,1,18
2023-10-26 00:00:00.000 UTC,ethereum,2,2,2,1
2023-10-26 00:00:00.000 UTC,optimism,50,12,20,21
2023-10-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-27 00:00:00.000 UTC,base,6,2,1,5
2023-10-27 00:00:00.000 UTC,ethereum,1,1,1,1
